objectid,originalid,projectcode,stationcode,stationdesc,sampledate,evaluator,determination,determinationcomments,channeltype,structurewidth,structureshape,structureshapecomments,rightsideofstructure,rightvegetation,rightsidecomments,leftsideofstructure,leftvegetation,leftsidecomments,bottom,bottomcomments,vegetation,lowflowpresence,lowflowwidth,gradecontrolpresence,gradecontrollocation,gradecontrolcomments,channelmodcomments,lastchangedate,latitude,longitude,record_timestamp,app_timestamp,sitetype,novelsite,record_origin,origin_lastupdatedate,record_publish,globalid,created_user,created_date,last_edited_user,last_edited_date,login_agency,login_email,login_owner,login_year,login_project,ceden_publish,masterid,huc,county,smcshed,comid,channel_engineering_class
1732,NA,SMC_LARWMP_2010,SMC01320,NA,6/7/2010,B.Jones,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,cleared lot 40m away,NA,NA,NA,NA,NA,NR,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{8155E30B-6D29-4D10-8056-C7F5E23D1FE5},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01320,412,Los Angeles,Los Angeles,22515726,NAT
463,306,SMC_LACFCD_2022,SMC01320,NA,6/22/2022,Damon Owen,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,8/9/2022 13:49,TRUE,{1D3C34E5-794C-47F0-ACC1-872276EDD248},checker,8/9/2022 13:49,checker,8/9/2022 13:49,WestonSolu,damon.owen@westonsolutions.com,LACFCD,2022,SMC,NA,SMC01320,412,Los Angeles,Los Angeles,22515726,NAT
1733,NA,SMC_RCFC_2009,SMC01341,Santa Ana River @ Hamner,6/22/2009,A. Suter,Site visit,Review of historic data,Natural,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,No,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{7B6CA9ED-A0DD-4A66-B886-21751CB16123},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01341,801,Riverside,Middle Santa Ana,22563072,NAT
464,NA,SMC_LARWMP_2011,SMC01358,NA,6/21/2011,B.Jones,Site visit,review of historic data,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{BE22C4D0-4838-4B15-926F-FEC4756E0C84},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01358,412,Los Angeles,Los Angeles,22518272,HB
1734,NA,SMC_LACFCD_2010,SMC01372,NA,7/13/2010,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{A7B6800F-4484-4A52-ACD0-CEAB76F406C0},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01372,403,Los Angeles,Santa Clara,17574585,NAT
465,121,SMC_LACFCD_2015,SMC01384,NA,6/30/2015,Damon Owen. Melissa Mathis,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,10/7/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{38E8B393-8599-4718-A70D-9FFD93F11E93},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01384,404,Los Angeles,Santa Monica Bay,20365093,NAT
466,NA,NA,SMC01384,NA,6/7/2017,DO/NC,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{B7B31A26-E3D1-424E-9017-4F4F23BF30C6},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01384,404,Los Angeles,Santa Monica Bay,20365093,NAT
1736,228,NA,SMC01384,NA,6/19/2018,DO/NC,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,9/24/2018 10:27,NA,exists,FALSE,SMC,1/23/2019,TRUE,{8F6C3BF6-4C19-48A3-9CBA-C6583C0A99D6},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01384,404,Los Angeles,Santa Monica Bay,20365093,NAT
467,134,SMC_LACFCD_2019,SMC01384,NA,7/8/2019,D. Owen,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,7/10/2020 12:40,TRUE,{8232932F-4371-4519-A5C0-4F23A13F96C0},checker,7/10/2020 12:40,checker,7/10/2020 12:40,WestonSolu,pauls@sccwrp.org,LACFCD,2019,SMC,NA,SMC01384,404,Los Angeles,Santa Monica Bay,20365093,NAT
1737,NA,SMC_SCDWP_2012,SMC01413,NA,7/9/2012,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{7BFC47CB-FF60-465F-826D-E12912D72312},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01413,903,San Diego,Northern San Diego,20343191,NAT
468,221,SMC_SDCDPW_2021,SMC01418,NA,5/27/2021,Damon Owen,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,8/19/2021 7:26,TRUE,{2D7FCAFD-F2B5-4B95-8389-86708C85B3C5},checker,8/19/2021 7:26,checker,8/19/2021 7:26,WestonSolu,damon.owen,SDCDPW,2021,SMC,NA,907S01418,907,San Diego,Mission Bay and San Diego River,20332438,NAT
1738,313,SMC_SDCDPW_2022,SMC01418,NA,6/1/2022,Damon Owen,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,8/10/2022 14:46,TRUE,{6FDAF993-02BE-4205-B3B0-C0508EE06D4F},checker,8/10/2022 14:46,checker,8/10/2022 14:46,WestonSolu,Damon.owen@westonsolutions.com,SDCDPW,2022,SMC,NA,907S01418,907,San Diego,Mission Bay and San Diego River,20332438,NAT
469,NA,SMC_SGRRMP_2009,SMC01424,NA,7/1/2009,B.Jones,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{166BA7CA-8678-4883-B12F-B1DE923CCBAD},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01424,405,Los Angeles,San Gabriel,22522841,NAT
1739,NA,SMC_LARWMP_2010,SMC01452,NA,7/15/2010,B.Jones,Site visit,Review of historic data,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3FB8F4BA-5A95-4461-9104-11CE041BFFB5},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01452,412,Los Angeles,Los Angeles,22515818,HB
470,NA,SMC_SGRRMP_2012,SMC01454,NA,7/16/2012,B.Jones,Site visit,Review of historic data,Engineered,< 5 m,Trapezoidal,NA,Grouted rock,No,NA,Grouted rock,No,NA,Soft/Natural,NA,NR,Absent,NA,Absent,NA,NA,culvert just upstream of K,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{8694CC2F-4319-40F9-8612-351037C8F9FF},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01454,405,Los Angeles,San Gabriel,22525657,SB2
1740,210,SMC_SGRRMP_2020,SMC01454,NA,7/23/2020,W. Willis,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Grouted rock,Yes,NA,Grouted rock,Yes,NA,Soft/Natural,NA,No,Absent,NR,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/18/2020 13:06,TRUE,{4E5288A1-2D69-4869-8C93-1D945C41E3C1},checker,11/18/2020 13:06,checker,11/18/2020 13:06,ABCL,alexis@aquaticbioassay.com,SGRRMP,2020,SMC,NA,SMC01454,405,Los Angeles,San Gabriel,22525657,SB2
471,NA,SMC_LARWMP_2008,SMC01460,NA,6/12/2008,B.Jones,Site visit,Review of historic data,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{2E2AE416-01AA-4C27-A99F-C33F59C3BC24},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01460,412,Los Angeles,Los Angeles,22514972,HB
1741,NA,SMC_LARWMP_2012,SMC01464,NA,6/7/2012,B.Jones,Site visit,Review of historic data,Engineered,< 5 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{C446C1EE-49FC-4EE8-9565-D7F60E505B7C},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01464,412,Los Angeles,Los Angeles,22515786,HB
472,NA,SMC_SGRRMP_2011,SMC01504,NA,6/28/2011,B.Jones,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{A72024C5-6D24-4DFB-A66B-9CF87EB937EB},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01504,405,Los Angeles,San Gabriel,22524645,NAT
1742,NA,SMC_VCWPD_2010,SMC01512,NA,6/23/2010,B.Jones,Site visit,Review of historic data,Engineered,< 5 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{7658D46C-A47C-4B41-839A-A9BF085A1C84},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01512,408,Ventura,Calleguas,17563922,HB
473,NA,SMC_LARWMP_2010,SMC01544,NA,7/14/2010,B.Jones,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{D1372AC5-1303-4143-9B47-A114FF7CA8A5},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01544,412,Los Angeles,Los Angeles,22515726,NAT
1743,268,SMC_LARWMP_2021,SMC01544,NA,6/15/2021,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2021 13:25,TRUE,{A9551631-F015-4DB3-9914-D51AB0F89586},checker,10/21/2021 13:25,checker,10/21/2021 13:25,ABCL,alexis@aquaticbioassay.com,LARWMP,2021,SMC,NA,SMC01544,412,Los Angeles,Los Angeles,22515726,NAT
474,NA,SMC_LACFCD_2009,SMC01550,NA,6/25/2009,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{C7AE8247-5D8B-4975-A648-CD911F9620AE},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01550,404,Los Angeles,Santa Monica Bay,20365177,NAT
1744,NA,SMC_OCPW_2011,SMC01555,NA,6/23/2011,B.Jones,Site visit,Review of historic data,Engineered,< 5 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3534E54C-C1FC-4A76-BDF9-BC4409D80E1D},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01555,901,Orange,San Juan,20348689,HB
475,NA,SMC_VCWPD_2010,SMC01567,NA,6/9/2010,B.Jones,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{FE2A2062-0CDA-40B3-B698-03D62464A6CA},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01567,402,Ventura,Ventura,17585756,NAT
1745,NA,SMC_SCDWP_2009,SMC01606,NA,5/26/2009,Damon Owen,Site visit,Review of historic data,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{A5BD184F-882C-4C8E-902E-A50F6FE0906D},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01606,906,San Diego,Mission Bay and San Diego River,20331408,HB
490,NA,SMC_SGRRMP_2012,SMC01902,NA,7/16/2012,B.Jones,Site visit,Review of historic data,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3E0D2670-D8D8-4A1E-B850-DF50CC362E49},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01902,405,Los Angeles,San Gabriel,22523247,HB
476,122,SMC_LACFCD_2015,SMC01640,NA,6/30/2015,Damon Owen. Melissa Mathis,Site visit,NA,Engineered,5 to 10 m,Rectangular,Rectangular daylighted box,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,10/7/2015,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{5496D6EB-1562-402B-9EBA-D72D95DA2D82},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01640,404,Los Angeles,Santa Monica Bay,20364725,HB
1746,NA,NA,SMC01640,NA,6/14/2016,DO/NC,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{FD348EBC-F528-40D8-8519-DA06982CFDB5},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01640,404,Los Angeles,Santa Monica Bay,20364725,HB
477,NA,NA,SMC01640,NA,6/7/2017,DO/NC,Site visit,NA,Engineered,5 to 10 m,Rectangular,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,5/17/2018,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1924AEC7-2FC8-42BB-91AE-8B41629CF8DA},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01640,404,Los Angeles,Santa Monica Bay,20364725,HB
1747,229,NA,SMC01640,NA,6/19/2018,DO/NC,Site visit,NA,Engineered,5 to 10 m,Rectangular,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,9/24/2018 10:37,NA,exists,FALSE,SMC,1/23/2019,TRUE,{9A02D938-5259-4B68-8F21-CBA2371178E5},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01640,404,Los Angeles,Santa Monica Bay,20364725,HB
478,133,SMC_LACFCD_2019,SMC01640,NA,7/8/2019,D. Owen,Site visit,NA,Engineered,5 to 10 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,7/10/2020 12:40,TRUE,{2038FB5C-F506-474F-8DE1-3DBEFDB669AB},checker,7/10/2020 12:40,checker,7/10/2020 12:40,WestonSolu,pauls@sccwrp.org,LACFCD,2019,SMC,NA,SMC01640,404,Los Angeles,Santa Monica Bay,20364725,HB
1748,NA,SMC_LARWMP_2012,SMC01656,NA,6/6/2012,B.Jones,Site visit,Review of historic data,Engineered,< 5 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{8E09D861-8908-4FCF-AE6A-307881D7DE61},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01656,412,Los Angeles,Los Angeles,22514958,HB
479,NA,SMC_OCPW_2012,SMC01662,SGLR,7/9/2012,B.Jones,Site visit,Review of historic data,Engineered,5 to 10 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{72597B08-C66E-4801-BABE-8F147F870A84},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01662,845,Orange,San Gabriel,22525697,HB
1749,187,SMC_OCPW_2020,SMC01662,NA,6/8/2020,W. Willis,Site visit,NA,Engineered,10 to 50 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Present,Within 10 m downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,11/5/2020 14:57,TRUE,{52B1A41E-D740-4177-80F4-B25CED989611},checker,11/5/2020 14:57,checker,11/5/2020 14:57,ABCL,alexis@aquaticbioassay.com,OCPW,2020,SMC,NA,SMC01662,845,Orange,San Gabriel,22525697,HB
480,NA,SMC_LACFCD_2010,SMC01676,NA,7/13/2010,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{9E7918D0-948B-4935-9F98-F16497D1C256},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01676,403,Los Angeles,Santa Clara,17574585,NAT
1750,NA,SMC_VCWPD_2009,SMC01684,NA,6/3/2009,B.Jones,Site visit,Review of historic data,Engineered,< 5 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{94D055BB-7CC2-44C7-BBA8-995BDB052AD2},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01684,408,Ventura,Calleguas,17563890,HB
481,NA,SMC_SCDWP_2012,SMC01689,NA,7/5/2012,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{065946D5-755C-4BB9-A273-251934E39398},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01689,903,San Diego,Northern San Diego,20341709,NAT
1751,NA,SMC_LARWMP_2011,SMC01692,NA,6/20/2011,B.Jones,Site visit,Review of historic data,Engineered,100+ m,Other,RightBank=trapezoidal;LeftBank=Natural,Concrete,No,NA,Earthen,Yes,NA,Soft/Natural,NA,NR,Absent,NA,Absent,NA,NA,vehicles drive through creek bed-10 m downstream of reach,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{1D054E32-C9D6-4C37-A5C2-51D59E0299D4},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01692,412,Los Angeles,Los Angeles,948070459,SB1
482,NA,SMC_OCPW_2010,SMC01694,SGLR,6/28/2010,B.Jones,Site visit,Review of historic data,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,No,NA,Rock,No,NA,Soft/Natural,Rock upstream and downstream of reach,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{58364C4D-C3E4-497D-B3E5-0BB592B04CCA},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01694,845,Orange,San Gabriel,22527375,SB2
1735,NA,NA,SMC01384,NA,6/14/2016,DO/NC,Site visit,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,NA,3/7/2017,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{2316B71A-C45E-41F8-85D9-128EC42C8796},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01384,404,Los Angeles,Santa Monica Bay,20365093,NAT
1752,21,SMC_OCWMPU_2018,SMC01694,NA,8/6/2018,Karin Wisenbaker,Site visit,NA,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,NR,NA,Rock,NR,NA,Soft/Natural,NA,No,Absent,NR,Present,Within 10 m upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,4/5/2019 6:46,TRUE,{B4DAA171-B0E4-473F-BA4C-438D074754B4},checker,4/5/2019 6:46,checker,4/5/2019 6:46,ABCL,jeffb@sccwrp.org,OCWMPU,2018,SMC,NA,SMC01694,845,Orange,San Gabriel,22527375,SB2
483,NA,SMC_LARWMP_2010,SMC01716,NA,6/8/2010,B.Jones,Site visit,Review of historic data,Engineered,5 to 10 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{72EA120F-8D5B-43DB-B170-5CCD6E4D6112},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01716,412,Los Angeles,Los Angeles,22515806,HB
1753,NA,SMC_SCDWP_2009,SMC01717,NA,5/28/2009,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{2438D8EE-64EE-437B-A43C-D146121B3024},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01717,903,San Diego,Northern San Diego,20342481,NAT
484,NA,SMC_OCPW_2010,SMC01726,SGLR,6/30/2010,B.Jones,Site visit,Review of historic data,Engineered,< 5 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{8E230C38-EC56-474A-8BEB-3D61B7458510},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01726,845,Orange,San Gabriel,22525751,HB
1754,66,SMC_OCPW_2019,SMC01726,NA,6/6/2019,A. Wallengren,Site visit,NA,Engineered,5 to 10 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Absent,NR,Absent,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/17/2019 12:48,TRUE,{FDA0C51E-F509-48C8-8A91-426F62216DB1},checker,10/17/2019 12:48,checker,10/17/2019 12:48,ABCL,alexis@aquaticbioassay.com,OCPW,2019,SMC,NA,SMC01726,845,Orange,San Gabriel,22525751,HB
485,NA,SMC_VCWPD_2009,SMC01748,NA,6/3/2009,B.Jones,Site visit,Review of historic data,Engineered,100+ m,Trapezoidal,NA,Grouted rock,No,NA,Earthen,Yes,NA,Soft/Natural,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{9ACEF6E1-9B25-4D6F-9687-184C16C79917},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01748,408,Ventura,Calleguas,163864411,SB1
1755,NA,SMC_LARWMP_2012,SMC01772,NA,7/11/2012,B.Jones,Site visit,Review of historic data,Engineered,< 5 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{B1EEA5EE-9411-4833-A9E1-E82832F49D5C},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01772,412,Los Angeles,Los Angeles,22515008,HB
486,NA,SMC_LARWMP_2011,SMC01808,NA,6/13/2011,B.Jones,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NR,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{3F368C5F-B4F0-4FFD-BD43-66F9D2B2AF29},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01808,412,Los Angeles,Los Angeles,22514400,NAT
1756,69,SMC_LARWMP_2019,SMC01808,NA,7/9/2019,K. Wisenbaker,Site visit,NA,Natural,NR,NR,NA,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,Present,Within 10 m downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC,10/21/2019 8:32,TRUE,{3F3CD03A-9493-4609-BE60-BD391BAFC7E0},checker,10/21/2019 8:32,checker,10/21/2019 8:32,ABCL,alexis@aquaticbioassay.com,LARWMP,2019,SMC,NA,SMC01808,412,Los Angeles,Los Angeles,22514400,NAT
487,NA,SMC_SCDWP_2010,SMC01814,NA,6/9/2010,Damon Owen,Site visit,Review of historic data,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Present,Within 10 m upstream and Within 10 m downstream,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{4E66AE5C-552F-4FBE-BBB5-9AA7F1778C55},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904S01814,904,San Diego,Central San Diego,20341999,NAT
1757,NA,SMC_SGRRMP_2012,SMC01824,NA,6/21/2012,B.Jones,Site visit,Review of historic data,Engineered,5 to 10 m,Rectangular,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{D19F85C5-C4C7-4E8B-8CCB-BB797C89486C},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01824,405,Los Angeles,San Gabriel,22524751,HB
488,NA,SMC_VCWPD_2009,SMC01860,NA,5/28/2009,B.Jones,Site visit,Review of historic data,Engineered,50 to 100 m,Trapezoidal,NA,Grouted rock,No,NA,Earthen,No,NA,Soft/Natural,NA,NR,Absent,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,exists,FALSE,SMC,1/23/2019,TRUE,{99960FAC-990F-4E34-9590-48550DF0F910},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMC01860,408,Ventura,Calleguas,17564046,SB2
